Id,Predicted
0,229440.99353027344
1,281464.9786224365
2,142823.26287841797
3,340180.50091552734
4,343962.1472167969
5,224690.2353515625
6,285232.88356018066
7,236948.67965698242
8,385972.37509155273
9,356971.23023986816
10,232190.39642333984
11,320615.06774902344
12,469076.93298339844
13,538841.2565002441
14,117226.88049316406
15,263243.2312011719
16,418896.7247314453
17,180932.3974609375
18,225403.6499633789
19,153157.328125
20,146368.05078125
21,337636.06048583984
22,184708.39031982422
23,218861.24145507812
24,123780.15518188477
25,409385.68701171875
26,196518.02392578125
27,311955.2737426758
28,276754.5027770996
29,244261.24465942383
30,160173.13165283203
31,175986.36502075195
32,215676.0506591797
33,505434.5124511719
34,219494.49041748047
35,104836.11331176758
36,280839.7893218994
37,302543.5070800781
38,321888.5033874512
39,174331.79736328125
40,301841.20457458496
41,412055.44540405273
42,238240.60398864746
43,148155.8123779297
44,354695.61374664307
45,357697.58407592773
46,150305.24075317383
47,174328.7176513672
48,231600.66369628906
49,341764.11611938477
50,210767.6749267578
51,551555.3503417969
52,320958.41791915894
53,119396.90013122559
54,456455.31005859375
55,173230.66677856445
56,281110.70208740234
57,582017.8477935791
58,235128.26905822754
59,309400.33239746094
60,300222.43756103516
61,523033.818069458
62,325795.2216796875
63,179320.99603271484
64,327928.61169433594
65,182784.0474243164
66,334669.087600708
67,176117.3272705078
68,166698.88299560547
69,362876.1270751953
70,193632.88708496094
71,290350.6787109375
72,484421.7332839966
73,166114.13452148438
74,304533.2505493164
75,545539.9337768555
76,218168.138671875
77,298869.6939544678
78,230444.60400390625
79,144398.0418701172
80,293845.58866882324
81,393868.8652038574
82,482652.6198501587
83,139831.90559387207
84,217298.93493652344
85,215634.42614746094
86,266923.4450073242
87,348635.265625
88,251188.11808776855
89,167308.9217529297
90,267969.4528503418
91,124938.8911743164
92,545137.6217651367
93,98185.73071289062
94,153144.1675415039
95,231570.8490600586
96,276806.36714172363
97,458943.265625
98,339588.0499267578
99,437630.5905303955
100,125284.1357421875
101,265989.6602783203
102,172342.90104675293
103,348611.90716552734
104,395454.8944091797
105,191915.84953308105
106,366286.9475708008
107,307611.10510253906
108,284615.2180480957
109,200143.96630859375
110,305656.40226745605
111,205162.80154418945
112,330188.8854980469
113,257396.6357421875
114,120464.947265625
115,356857.0400695801
116,190047.38134765625
117,333992.4033203125
118,264863.10302734375
119,194145.00018310547
120,322400.99642944336
121,163309.69242095947
122,101754.90971374512
123,204821.39135742188
124,471288.9535331726
125,124924.35998535156
126,277626.2420654297
127,352028.5148925781
128,301600.9473876953
129,375972.56076049805
130,203411.87477111816
131,157084.1726989746
132,336986.97860717773
133,206904.49682617188
134,420535.7633972168
135,115857.13159179688
136,271517.9910736084
137,206674.9243774414
138,245936.3896484375
139,349374.3779296875
140,529771.6429138184
141,205297.73246765137
142,195945.9478149414
143,223566.30981445312
144,117745.90115356445
145,302735.3975830078
146,481785.8384399414
147,593783.235168457
148,130271.40057373047
149,227850.29736328125
150,187754.3067626953
151,203268.6016845703
152,384552.3547363281
153,260549.63775634766
154,490706.82946777344
155,157686.44274902344
156,216487.59008789062
157,285474.4208679199
158,324267.6531982422
159,218355.55993652344
160,186800.3448486328
161,227458.0807952881
162,192362.70669555664
163,293272.86682128906
164,249479.6923828125
165,388254.990234375
166,316731.5753173828
167,353252.212310791
168,310710.88385009766
169,196047.88299560547
170,115636.06521606445
171,346450.7442398071
172,288195.53125
173,184049.076461792
174,338543.7265625
175,277906.39630126953
176,185655.05381011963
177,337241.9052429199
178,487071.6668548584
179,432126.2255859375
180,180045.59371948242
181,164201.97589111328
182,300327.82890319824
183,242541.35845947266
184,261512.0425415039
185,342369.23446655273
186,192321.298828125
187,174246.4052734375
188,116755.01953125
189,385323.27699279785
190,265507.26385498047
191,229409.5645751953
192,189980.23529052734
193,290131.81617736816
194,206749.2653503418
195,409316.130859375
196,562854.4134521484
197,344989.9055786133
198,225473.12371826172
199,483675.3760070801
200,287123.42889404297
201,289465.426361084
202,293918.7170410156
203,296331.0771484375
204,396857.1608886719
205,251871.34423828125
206,194842.02323913574
207,228563.52130126953
208,157214.71453857422
209,163474.46699523926
210,215526.28721618652
211,312348.1968231201
212,196804.64453125
213,234959.25338745117
214,149124.38507080078
215,218610.88677978516
216,548630.3712615967
217,650155.2045898438
218,159091.12377929688
219,273473.1398162842
220,276528.5939025879
221,411432.0289001465
222,431356.409450531
223,328533.8247375488
224,411658.25244140625
225,155659.59106445312
226,113036.38165283203
227,303212.2663497925
228,212511.65533447266
229,210747.7401123047
230,308271.8310546875
231,215478.83911132812
232,187505.14709472656
233,308812.1841430664
234,755582.8144836426
235,227507.5432434082
236,457720.87927246094
237,243687.68745422363
238,185810.72300720215
239,299623.1525878906
240,157030.8364868164
241,357716.85205078125
242,269911.5880203247
243,594671.7958374023
244,297810.6571044922
245,184916.34411621094
246,467858.9794921875
247,277050.533203125
248,330480.03955078125
249,133125.9395904541
250,228116.93865966797
251,152118.68008422852
252,491342.02142333984
253,390866.27670288086
254,238414.5283203125
255,506094.51278686523
256,188357.69274902344
257,325672.0952606201
258,346863.42834472656
259,334177.3203125
260,295912.9058227539
261,209934.03424072266
262,122920.03509521484
263,364457.51251220703
264,197349.27320861816
265,426646.29415893555
266,322604.16986083984
267,268660.74938964844
268,245362.3592376709
269,311766.66650390625
270,816473.2579650879
271,177352.1083984375
272,596802.0904541016
273,332299.6767578125
274,511180.2673339844
275,861042.0618896484
276,162696.67169189453
277,223763.58123779297
278,155601.20904541016
279,200212.11584472656
280,190814.1951904297
281,317895.5468444824
282,340567.93322753906
283,288815.7409667969
284,400408.1707763672
285,232968.0384979248
286,119640.5308227539
287,226305.826171875
288,118006.83950805664
289,274549.51989746094
290,535181.8435668945
291,333407.17904663086
292,268450.6206665039
293,254428.4161376953
294,178712.33599853516
295,323403.05615234375
296,184817.3817138672
297,304423.46168518066
298,193841.1220703125
299,319709.81062316895
300,351295.54135894775
301,331809.32208251953
302,180832.15698242188
303,146481.54341125488
304,174134.28421020508
305,178793.9091796875
306,231518.8366546631
307,344442.45849609375
308,215173.61798095703
309,394450.4327392578
310,277223.995513916
311,120881.40592956543
312,346385.5696105957
313,387280.4259490967
314,237401.35331726074
315,282393.17053222656
316,304600.8052749634
317,227341.1587524414
318,219185.99700927734
319,188019.86727905273
320,333903.1308441162
321,150173.60829162598
322,453046.62661743164
323,132957.8494720459
324,172208.3650817871
325,222358.08100891113
326,316838.92028808594
327,239438.35327148438
328,204392.51035308838
329,413590.44140625
330,675950.3147888184
331,675716.0089111328
332,307554.04666137695
333,255313.80422973633
334,160371.35205078125
335,345785.1174926758
336,215389.55389404297
337,223889.0151977539
338,381811.86767578125
339,410286.96015930176
340,127264.58203125
341,227068.36853027344
342,218328.19511413574
343,312000.88174438477
344,344125.6462402344
345,279125.3388977051
